"l_english:",""
" # Decision Menu Localization",""
" pay_homage_decision0: ""Pay Homage""",""
" pay_homage_decision_desc0: ""I can formally and publicly pledge allegiance to my liege"," strengthening trust and the legitimacy of both our positions."""
" pay_homage_decision_tooltip0: ""Formally pledge [pay_homage|E] to your [liege|E]""",""
" pay_homage_decision_effects0: ""You travel to [THIS.Char.GetLiege.GetTitledFirstNamePossessive] court to pay Homage""",""
" pay_homage_decision_confirm0: ""$pay_homage_decision$""",""
" pay_homage_decision_second_tooltip0: ""$DESC$\n$pay_homage_grace_tt$\n\n$IS_VALID_BLOCKER$""",""
" pay_homage_grace_tt0: ""#weak You can only pay Homage to the same liege once#!""",""
" pay_homage_gift_warning_effect0: ""#weak Gifts increase the rewards of paying Homage#!\n$pay_homage_grace_tt$""",""
" pay_homage_grace_valid_tt0: ""Has not paid [pay_homage|E] to [THIS.Char.GetLiege.GetTitledFirstName] before""",""
" PAY_HOMAGE_DECISION_NEXT_STEP_BUTTON0: ""Choose Homage gift""",""
" petition_available_adult_tt0: ""Is an available Adult""",""
" petition_available_liege_tt0: ""[THIS.Char.GetLiege.GetTitledFirstName] is an available Adult""",""
" # Submission",""
" pay_homage_decision_option_submission0: ""Demonstrate Submission\n#low Give nothing#!""",""
" pay_homage_submission_desc0: ""[ROOT.Char.GetLiege.GetTitledFirstName] will receive only your oath of [pay_homage|E]""",""
" pay_homage_submission_tooltip0: ""$pay_homage_decision_second_tooltip$""",""
" # Gold",""
" pay_homage_decision_option_gold0: ""...and Bestow Gifts\n#low Give [gold|E]#!""",""
" pay_homage_gold_desc0: ""[ROOT.Char.GetLiege.GetTitledFirstName] will receive a gift of [gold|E] from you""",""
" pay_homage_gold_tooltip0: ""$pay_homage_decision_second_tooltip$""",""
" pay_homage_decision_effects_gold0: ""Your [liege|E] will receive your gift of [gold|E]""",""
" pay_homage_gold_tt0: ""#X You do not have enough [gold|E]#!""",""
"  # Hook",""
" pay_homage_decision_option_hook0: ""...and Promise Favor\n#low Give a [hook|E]#!""",""
" pay_homage_hook_desc0: ""[ROOT.Char.GetLiege.GetTitledFirstName] will receive a weak [hook|E] on you""",""
" pay_homage_hook_tooltip0: ""$pay_homage_decision_second_tooltip$""",""
" pay_homage_decision_effects_hook0: ""Your [liege|E] will receive a strong [hook|E] on you""",""
" pay_homage_hook_tt0: ""#X Your [liege|E] already has a [hook|E] on you#!""",""
" # Contract",""
" pay_homage_decision_option_contract0: ""...and Increase Obligations\n#low Give [contract|E] obligations#!""",""
" pay_homage_contract_desc0: ""[ROOT.Char.GetLiege.GetTitledFirstName] will receive greater taxes or levies from by [contract|E]""",""
" pay_homage_contract_tooltip0: ""$pay_homage_decision_second_tooltip$""",""
" pay_homage_decision_effects_contract_gold0: ""Your [liege|E] will receive more [taxes|E] from you""",""
" pay_homage_decision_effects_contract_levies0: ""Your [liege|E] will receive more [levies|E] from you""",""
" pay_homage_contract_modifiable_tt0: ""#X Your [contract|E] has been changed too recently#!""",""
" pay_homage_contract_increasable_tt0: ""#X Your [taxes|E] and [levies|E] cannot be raised#!""",""
