"l_english:"|""|""
""|""|""
" #Empty Granaries"|""|""
" hold_court.6000.t0: ""Empty Granaries"""|""|""
" hold_court.6000.desc_intro0: ""Before me stands [6000_poor.Custom2('MyCharacterIntroduction', ROOT.Char)], [6000_poor.GetHerHis] head hung low.\n\n""My [ROOT.Char.GetLadyLord], [6000_province.GetNameNoTooltip] has been hit hard by the recent"""|""|""
" hold_court.6000.desc_occupation0: ""enemy occupation."""|""|""
" hold_court.6000.desc_raiding0: ""raiding and looting."""|""|""
" hold_court.6000.desc_epidemics0: ""epidemics."""|""|""
" hold_court.6000.desc_winter0: ""harsh winter."""|""|""
" hold_court.6000.desc_middle0: ""The people are starving, our fields are not recovering, and our livestock is not enough to survive anymore!"""|""|""
" hold_court.6000.desc_count0: ""[6000_count.Custom2('MyCharacterIntroduction', 6000_poor)"|"U] lacks either the money or the will to help us."""|""
" hold_court.6000.desc_ending0: ""We beg you to intervene and to save your devoted subjects with your great magnanimity!""\n\n[6000_poor.GetSheHe"|"U] bows deeply and falls silent."""|""
" hold_court.6000.a0: ""Some gold will help lessen your sufferings."""|""|""
" hold_court.6000.b0: ""I will grant you tax relief to get back up."""|""|""
" hold_court.6000.c0: ""I know just the right person for the job."""|""|""
" hold_court.6000.c.tt0: ""You send [inspector.GetTitledFirstName] as official inspector to supervise the recovery of the county"""|""|""
" hold_court.6000.d0: ""I am sure you can manage it on your own."""|""|""
" hold_court.6000.e0: ""You'd better pay your taxes or there will be consequences..."""|""|""
" #Land Grants"|""|""
" hold_court.6010.t0: ""Land Grants"""|""|""
